user,time,error,qType,ans,correct,confidence,age,sex,degree,monitor,computer,expert,expertProgressive,isBiased,weight0,weight1,weight2,weight3,weight4,weightPenalty,weight0high,weight0normal,weight0off,weight1high,weight1normal,weight1off,weight2high,weight2normal,weight2off,weight3high,weight3normal,weight3off,weight4high,weight4normal,weight4off,condition,interact,priorMatch
jtw8i3t2,1417,0,0,no,no,2,25-39,Male,Masters,15,20-Nov,intermediate,intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8i3t2,2390,0,1,no,no,2,25-39,Male,Masters,15,20-Nov,intermediate,intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8i3t2,2120,1,2,no,yes,2,25-39,Male,Masters,15,20-Nov,intermediate,intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,TRUE
jtw8i3t2,2076,1,3,no,yes,2,25-39,Male,Masters,15,20-Nov,intermediate,intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,TRUE
jtw8i3t2,1625,0,4,no,no,2,25-39,Male,Masters,15,20-Nov,intermediate,intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8i3t2,1632,0,5,no,no,2,25-39,Male,Masters,15,20-Nov,intermediate,intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8sg2c,16513,0,0,no,no,3,18-24,Female,High School,13,10-Jun,intermediate,low-intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8sg2c,17274,0,1,no,no,3,18-24,Female,High School,13,10-Jun,intermediate,low-intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8sg2c,17144,0,2,yes,yes,3,18-24,Female,High School,13,10-Jun,intermediate,low-intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,TRUE
jtw8sg2c,21952,0,3,yes,yes,3,18-24,Female,High School,13,10-Jun,intermediate,low-intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,TRUE
jtw8sg2c,24492,0,4,no,no,2,18-24,Female,High School,13,10-Jun,intermediate,low-intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8sg2c,15606,0,5,no,no,3,18-24,Female,High School,13,10-Jun,intermediate,low-intermediate,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
jtw8t212,640,0,0,no,no,1,25-39,Female,High School,21,41-50,novice,novice,FALSE,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base,FALSE,FALSE
