user,time,error,qType,qNum,ans,correct,confidence,age,sex,degree,monitor,computer,expert,expertProgressive,weights,weight0,weight1,weight2,weight3,weight4,weightPenalty,weightPenaltyNormalized,weight0high,weight0normal,weight0off,weight1high,weight1normal,weight1off,weight2high,weight2normal,weight2off,weight3high,weight3normal,weight3off,weight4high,weight4normal,weight4off,totalInteractions,rawWeightPenalty,interact
jt4adkbb,23130,0,0,0,70000,70000,3,25-39,Female,Other,13,41-50,novice,novice,suboptimal,20,20,20,20,20,0.173913043,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
jt4adkbb,62133,0.14,1,1,120000,105000,3,25-39,Female,Other,13,41-50,novice,novice,optimal,20,20,0,0,0,0.018730489,1.161290323,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1.161290323,TRUE
jt4adkbb,26775,0,2,2,C,C,3,25-39,Female,Other,13,41-50,novice,novice,optimal,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
jt4adkbb,31877,0.11,0,3,50000,45000,3,25-39,Female,Other,13,41-50,novice,novice,optimal,0,0,0,20,0,0.020811655,0.64516129,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,4,0.64516129,TRUE
jt4adkbb,57483,0,1,4,130000,130000,3,25-39,Female,Other,13,41-50,novice,novice,optimal,20,20,0,0,0,0.004309018,0.245614035,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0.245614035,TRUE
jt4adkbb,20386,0,2,5,E,E,4,25-39,Female,Other,13,41-50,novice,novice,optimal,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
jt4pymts,11321,0.04,0,0,67000,70000,2,50-59,Male,Bachelors,23 or larger,gt60,intermediate,low-intermediate,suboptimal,20,20,20,0,20,0.347107438,3.818181818,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.818181818,TRUE
jt4pymts,7874,0.05,1,1,100000,105000,1,50-59,Male,Bachelors,23 or larger,gt60,intermediate,low-intermediate,suboptimal,20,20,20,20,20,0.428571429,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE
jt4pymts,3975,0,2,2,c,C,4,50-59,Male,Bachelors,23 or larger,gt60,intermediate,low-intermediate,optimal,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
jt4pymts,10637,0.04,0,3,47000,45000,3,50-59,Male,Bachelors,23 or larger,gt60,intermediate,low-intermediate,suboptimal,20,20,20,0,20,0.46,4.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.6,TRUE
jt4pymts,14995,0.01,1,4,131000,130000,2,50-59,Male,Bachelors,23 or larger,gt60,intermediate,low-intermediate,suboptimal,0,0,20,20,20,0.260204082,3.642857143,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3.642857143,TRUE
jt4pymts,2605,0,2,5,E,E,4,50-59,Male,Bachelors,23 or larger,gt60,intermediate,low-intermediate,optimal,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
jt4pyoch,23942,0,0,0,70000,70000,4,25-39,Male,Masters,21,41-50,intermediate,novice,suboptimal,0,0,0,0,0,0.030245747,0.695652174,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,6,0.695652174,TRUE
jt4pyoch,65483,0.05,1,1,100000,105000,3,25-39,Male,Masters,21,41-50,intermediate,novice,suboptimal,0,0,0,0,0,0.015857988,1.030769231,1,1,2,2,0,2,0,0,1,0,0,1,0,0,1,11,1.030769231,TRUE
jt4pyoch,10720,0,2,2,C,C,4,25-39,Male,Masters,21,41-50,intermediate,novice,suboptimal,0,0,0,0,0,0.27,2.7,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,10,2.7,TRUE
jt4pyoch,31148,0.08,0,3,41200,45000,4,25-39,Male,Masters,21,41-50,intermediate,novice,suboptimal,0,0,0,0,0,0.018730489,0.580645161,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,6,0.580645161,TRUE
jt4pyoch,58834,0.04,1,4,125000,130000,4,25-39,Male,Masters,21,41-50,intermediate,novice,suboptimal,0,0,0,0,0,0.021700357,1.25862069,2,1,3,2,1,2,0,0,1,0,0,1,0,0,1,14,1.25862069,TRUE
jt4pyoch,32675,0,2,5,E,E,3,25-39,Male,Masters,21,41-50,intermediate,novice,suboptimal,0,0,0,0,0,0.047851563,1.53125,2,0,2,2,0,2,1,0,1,1,0,1,1,0,1,14,1.53125,TRUE
jt4pz398,43512,0.06,0,0,74000,70000,4,40-49,Male,Masters,13,31-40,low-intermediate,novice,suboptimal,20,20,20,100,20,0.093023256,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,TRUE
