user,time,error,qType,bias,ans,correct,confidence,age,sex,degree,monitor,computer,expert,expertProgressive,biasNum
jt4pywud,17553,0.07,0,notClustered,65000,70000,3,25-39,Male,Bachelors,23 or larger,gt60,intermediate,intermediate,0
jt4pywud,8620,0,1,notClustered,Yes,yes,4,25-39,Male,Bachelors,23 or larger,gt60,intermediate,intermediate,0
jt4pywud,8531,0,2,notClustered,C,C,4,25-39,Male,Bachelors,23 or larger,gt60,intermediate,intermediate,0
jt4pyy0d,9139,0,0,notClustered,70000,70000,2,25-39,Female,Other,17,gt60,low-intermediate,low-intermediate,0
jt4pyy0d,11143,0,1,notClustered,yes,yes,3,25-39,Female,Other,17,gt60,low-intermediate,low-intermediate,0
jt4pyy0d,8150,0,2,notClustered,c,C,3,25-39,Female,Other,17,gt60,low-intermediate,low-intermediate,0
jt4pz69e,7493,0,0,notClustered,70000,70000,3,25-39,Male,Bachelors,19,31-40,intermediate,intermediate,0
jt4pz69e,4739,1,1,notClustered,B,yes,4,25-39,Male,Bachelors,19,31-40,intermediate,intermediate,0
jt4pz69e,5668,0,2,notClustered,C,C,4,25-39,Male,Bachelors,19,31-40,intermediate,intermediate,0
jt4pzmtw,13844,0.04,0,notClustered,67000,70000,4,25-39,Male,Masters,23 or larger,gt60,high-intermediate,intermediate,0
jt4pzmtw,6608,0,1,notClustered,yes,yes,4,25-39,Male,Masters,23 or larger,gt60,high-intermediate,intermediate,0
jt4pzmtw,4757,0,2,notClustered,C,C,4,25-39,Male,Masters,23 or larger,gt60,high-intermediate,intermediate,0
jt4q0gzo,17429,0,0,notClustered,70000,70000,2,18-24,Male,High School,23 or larger,41-50,novice,novice,0
jt4q0gzo,6830,0,1,notClustered,yes,yes,3,18-24,Male,High School,23 or larger,41-50,novice,novice,0
jt4q0gzo,9605,0,2,notClustered,C,C,3,18-24,Male,High School,23 or larger,41-50,novice,novice,0
jt4q0ho8,20195,0,0,notClustered,70000,70000,2,60,Male,Other,13,51-60,novice,novice,0
jt4q0ho8,9977,0,1,notClustered,YES,yes,4,60,Male,Other,13,51-60,novice,novice,0
jt4q0ho8,9970,0,2,notClustered,C,C,4,60,Male,Other,13,51-60,novice,novice,0
jt4q1xkk,23807,0,0,notClustered,70000,70000,4,25-39,Male,Bachelors,23 or larger,31-40,expert,high-intermediate,0
jt4q1xkk,6960,0,1,notClustered,yes,yes,4,25-39,Male,Bachelors,23 or larger,31-40,expert,high-intermediate,0
jt4q1xkk,3712,0,2,notClustered,C,C,4,25-39,Male,Bachelors,23 or larger,31-40,expert,high-intermediate,0
jt4q8tns,11862,0.29,0,notClustered,90000,70000,2,25-39,Male,Bachelors,13,43626,expert,intermediate,0
jt4q8tns,15086,0,1,notClustered,YES,yes,3,25-39,Male,Bachelors,13,43626,expert,intermediate,0
jt4q8tns,10313,0,2,notClustered,C,C,3,25-39,Male,Bachelors,13,43626,expert,intermediate,0
jt4q8wor,9632,0,0,notClustered,70000,70000,3,25-39,Female,Bachelors,19,31-40,intermediate,novice,0
jt4q8wor,7296,0,1,notClustered,yes,yes,4,25-39,Female,Bachelors,19,31-40,intermediate,novice,0
jt4q8wor,8336,0,2,notClustered,C,C,4,25-39,Female,Bachelors,19,31-40,intermediate,novice,0
jt4qhvse,18232,0,0,notClustered,70000,70000,3,40-49,Male,High School,23 or larger,gt60,low-intermediate,low-intermediate,0
jt4qhvse,7360,0,1,notClustered,yes,yes,4,40-49,Male,High School,23 or larger,gt60,low-intermediate,low-intermediate,0
