,postID,interfacetype,satisfaction,ease,productive,frustrated,summary
0,jt4pz1sn,A,5,5,4,2,16.0
1,jt4pz1sn,B,4,4,4,2,14.0
2,jt4q4m8k,B,1,1,1,5,8.0
3,jt4q4m8k,A,1,1,1,5,8.0
4,jt4q4y13,A,2,2,1,5,10.0
5,jt4q4y13,B,1,1,2,5,9.0
6,jt4qiq02,A,5,5,5,1,16.0
7,jt4qiq02,B,4,4,4,2,14.0
8,jt4qjgr9,B,4,5,4,1,14.0
9,jt4qjgr9,A,4,5,5,1,15.0
10,jt4qrcfg,A,4,4,4,3,15.0
11,jt4qrcfg,B,4,4,4,3,15.0
12,jt4qt8te,A,2,2,1,5,10.0
13,jt4qt8te,B,4,4,3,2,13.0
14,jt4qup85,B,4,4,4,2,14.0
15,jt4qup85,A,4,4,4,2,14.0
16,jt4qwjb8,A,1,2,1,5,9.0
17,jt4qwjb8,B,1,1,1,5,8.0
18,jt4qwmwx,A,4,5,2,2,13.0
19,jt4qwmwx,B,4,4,4,2,14.0
20,jt4riza4,B,4,4,3,2,13.0
21,jt4riza4,A,4,4,3,2,13.0
22,jt4rx72x,B,4,3,4,2,13.0
23,jt4rx72x,A,4,4,4,1,13.0
24,jt4rxs3f,B,2,3,2,4,11.0
25,jt4rxs3f,A,4,4,4,2,14.0
26,jt4serce,B,4,3,1,5,13.0
27,jt4serce,A,2,3,3,4,12.0
28,jt4sgoco,A,4,4,4,2,14.0
29,jt4sgoco,B,5,5,5,2,17.0
30,jt4sydej,A,3,2,2,4,11.0
31,jt4sydej,B,3,3,3,3,12.0
32,jt4t4xor,A,2,4,3,3,12.0
33,jt4t4xor,B,1,2,2,4,9.0
34,jt4t8832,A,2,1,2,4,9.0
35,jt4t8832,B,3,4,3,2,12.0
36,jt4tjl9t,B,5,5,5,1,16.0
37,jt4tjl9t,A,5,5,5,1,16.0
38,jt4tphyg,A,5,5,5,1,16.0
39,jt4tphyg,B,4,5,5,1,15.0
40,jt4ul7bb,A,4,4,4,2,14.0
41,jt4ul7bb,B,4,4,4,2,14.0
42,jt4upspp,B,4,4,4,2,14.0
43,jt4upspp,A,4,4,4,2,14.0
44,jt4w282w,A,2,1,1,4,8.0
45,jt4w282w,B,1,1,1,5,8.0
46,jt4z84nc,A,4,5,4,1,14.0
47,jt4z84nc,B,4,4,4,4,16.0
48,jt541sk9,B,4,3,3,3,13.0
49,jt541sk9,A,3,4,3,2,12.0
50,jt584442,B,1,1,1,5,8.0
51,jt584442,A,1,1,1,5,8.0
