"","X","user","time","error","qType","interfaceType","ans","correct","age","sex","degree","monitor","computer","expert","expertProgressive","presentationOrder","corr1","corr5","corr10","corr20"
"1",0,"jt4pz1sn",29617,0,0,"A","59000","58878","25-39","Male","Bachelors","15","21-30","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"2",1,"jt4pz1sn",12449,0.15,1,"A","140000","164565","25-39","Male","Bachelors","15","21-30","intermediate","intermediate","[u'A', u'B']",0,0,0,1
"3",2,"jt4pz1sn",10968,1,2,"A","D","C","25-39","Male","Bachelors","15","21-30","intermediate","intermediate","[u'A', u'B']",0,0,0,0
"4",3,"jt4pz1sn",15953,0.11,0,"B","70000","78615","25-39","Male","Bachelors","15","21-30","intermediate","intermediate","[u'A', u'B']",0,0,0,1
"5",4,"jt4pz1sn",15740,0.01,1,"B","140000","140859","25-39","Male","Bachelors","15","21-30","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"6",5,"jt4pz1sn",13830,1,2,"B","E","B","25-39","Male","Bachelors","15","21-30","intermediate","intermediate","[u'A', u'B']",0,0,0,0
"7",6,"jt4q4m8k",20131,0.15,0,"B","50000","58878","50-59","Male","Bachelors","15","gt60","low-intermediate","low-intermediate","[u'B', u'A']",0,0,0,1
"8",7,"jt4q4m8k",12677,0.51,1,"B","80000","164565","50-59","Male","Bachelors","15","gt60","low-intermediate","low-intermediate","[u'B', u'A']",0,0,0,0
"9",8,"jt4q4m8k",12920,1,2,"B","D","C","50-59","Male","Bachelors","15","gt60","low-intermediate","low-intermediate","[u'B', u'A']",0,0,0,0
"10",9,"jt4q4m8k",10490,0.36,0,"A","50000","78615","50-59","Male","Bachelors","15","gt60","low-intermediate","low-intermediate","[u'B', u'A']",0,0,0,0
"11",10,"jt4q4m8k",5965,0.43,1,"A","80000","140859","50-59","Male","Bachelors","15","gt60","low-intermediate","low-intermediate","[u'B', u'A']",0,0,0,0
"12",11,"jt4q4m8k",16288,1,2,"A","E","B","50-59","Male","Bachelors","15","gt60","low-intermediate","low-intermediate","[u'B', u'A']",0,0,0,0
"13",12,"jt4q4y13",24371,0.01,0,"A","58000","58878","25-39","Male","Bachelors","13","gt60","intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"14",13,"jt4q4y13",15826,0.27,1,"A","120000","164565","25-39","Male","Bachelors","13","gt60","intermediate","low-intermediate","[u'A', u'B']",0,0,0,0
"15",14,"jt4q4y13",23972,0,2,"A","c","C","25-39","Male","Bachelors","13","gt60","intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"16",15,"jt4q4y13",16353,0.11,0,"B","70000","78615","25-39","Male","Bachelors","13","gt60","intermediate","low-intermediate","[u'A', u'B']",0,0,0,1
"17",16,"jt4q4y13",23759,0.01,1,"B","140000","140859","25-39","Male","Bachelors","13","gt60","intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"18",17,"jt4q4y13",20340,1,2,"B","e","B","25-39","Male","Bachelors","13","gt60","intermediate","low-intermediate","[u'A', u'B']",0,0,0,0
"19",18,"jt4qiq02",18340,0.01,0,"A","58000","58878","25-39","Female","Bachelors","23 or larger","41-50","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"20",19,"jt4qiq02",20332,0.09,1,"A","150000","164565","25-39","Female","Bachelors","23 or larger","41-50","intermediate","intermediate","[u'A', u'B']",0,0,1,1
"21",20,"jt4qiq02",16521,1,2,"A","D","C","25-39","Female","Bachelors","23 or larger","41-50","intermediate","intermediate","[u'A', u'B']",0,0,0,0
"22",21,"jt4qiq02",28594,0.11,0,"B","70000","78615","25-39","Female","Bachelors","23 or larger","41-50","intermediate","intermediate","[u'A', u'B']",0,0,0,1
"23",22,"jt4qiq02",49336,0.02,1,"B","143000","140859","25-39","Female","Bachelors","23 or larger","41-50","intermediate","intermediate","[u'A', u'B']",0,1,1,1
"24",23,"jt4qiq02",47575,0,2,"B","B","B","25-39","Female","Bachelors","23 or larger","41-50","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"25",24,"jt4qjgr9",33829,0.07,0,"B","55000","58878","25-39","Male","Masters","19","51-60","low-intermediate","novice","[u'B', u'A']",0,0,1,1
"26",25,"jt4qjgr9",42217,0.06,1,"B","155000","164565","25-39","Male","Masters","19","51-60","low-intermediate","novice","[u'B', u'A']",0,0,1,1
"27",26,"jt4qjgr9",29692,0,2,"B","C","C","25-39","Male","Masters","19","51-60","low-intermediate","novice","[u'B', u'A']",1,1,1,1
"28",27,"jt4qjgr9",38085,0.03,0,"A","76000","78615","25-39","Male","Masters","19","51-60","low-intermediate","novice","[u'B', u'A']",0,1,1,1
"29",28,"jt4qjgr9",41563,0.02,1,"A","143000","140859","25-39","Male","Masters","19","51-60","low-intermediate","novice","[u'B', u'A']",0,1,1,1
"30",29,"jt4qjgr9",41513,0,2,"A","B","B","25-39","Male","Masters","19","51-60","low-intermediate","novice","[u'B', u'A']",1,1,1,1
"31",30,"jt4qrcfg",56831,0.1,0,"A","65000","58878","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,0,1,1
"32",31,"jt4qrcfg",44824,0.03,1,"A","170000","164565","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"33",32,"jt4qrcfg",79962,0,2,"A","c","C","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"34",33,"jt4qrcfg",41081,0.05,0,"B","75000","78615","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"35",34,"jt4qrcfg",64504,0.04,1,"B","147000","140859","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"36",35,"jt4qrcfg",65585,0,2,"B","b","B","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"37",36,"jt4qt8te",13538,0.02,0,"A","60000","58878","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,1,1,1
"38",37,"jt4qt8te",14326,0.09,1,"A","150000","164565","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,0,1,1
"39",38,"jt4qt8te",4624,0,2,"A","c","C","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",1,1,1,1
