user,dataMode,time,error,qType,vRate,eRate,ans,correct,confidence,age,sex,degree,monitor,computer,expert,expertProgressive
jt8ooclo,V15E15,17892,0.14,1,15,15,120000,105000,3,25-39,Male,Bachelors,15,31-40,intermediate,low-intermediate
jt8ooclo,V15E15,15318,0,2,15,15,C,C,4,25-39,Male,Bachelors,15,31-40,intermediate,low-intermediate
jt8ooclo,V15E15,17562,0.04,0,15,15,43000,45000,4,25-39,Male,Bachelors,15,31-40,intermediate,low-intermediate
jt8ooclo,V15E15,29676,0,1,15,15,130000,130000,3,25-39,Male,Bachelors,15,31-40,intermediate,low-intermediate
jt8ooclo,V15E15,35671,0,2,15,15,E,E,4,25-39,Male,Bachelors,15,31-40,intermediate,low-intermediate
jt8osoo3,V10E5,9177,0.05,1,10,5,100000,105000,2,25-39,Female,High School,dontknow,Unspecified,Unspecified,Unspecified
jt8osoo3,V10E5,18867,0,2,10,5,C,C,3,25-39,Female,High School,dontknow,Unspecified,Unspecified,Unspecified
jt8osoo3,V10E5,7792,0,0,10,5,45000,45000,2,25-39,Female,High School,dontknow,Unspecified,Unspecified,Unspecified
jt8osoo3,V10E5,13172,0.08,1,10,5,120000,130000,2,25-39,Female,High School,dontknow,Unspecified,Unspecified,Unspecified
jt8osoo3,V10E5,8384,0,2,10,5,E,E,3,25-39,Female,High School,dontknow,Unspecified,Unspecified,Unspecified
jt8ot88m,V15E15,14000,0.33,1,15,15,140000,105000,3,25-39,Male,Bachelors,23 or larger,21-30,high-intermediate,intermediate
jt8ot88m,V15E15,4512,1,2,15,15,A,C,3,25-39,Male,Bachelors,23 or larger,21-30,high-intermediate,intermediate
jt8ot88m,V15E15,3520,0.36,0,15,15,61000,45000,3,25-39,Male,Bachelors,23 or larger,21-30,high-intermediate,intermediate
jt8ot88m,V15E15,3824,0.31,1,15,15,170000,130000,3,25-39,Male,Bachelors,23 or larger,21-30,high-intermediate,intermediate
jt8ot88m,V15E15,3184,1,2,15,15,C,E,2,25-39,Male,Bachelors,23 or larger,21-30,high-intermediate,intermediate
jt8ot9lu,V5E5,3203,0.43,1,5,5,150000,105000,2,25-39,Male,Bachelors,15,31-40,novice,low-intermediate
jt8ot9lu,V5E5,2633,0,2,5,5,C,C,4,25-39,Male,Bachelors,15,31-40,novice,low-intermediate
jt8ot9lu,V5E5,4233,0.33,0,5,5,60000,45000,2,25-39,Male,Bachelors,15,31-40,novice,low-intermediate
